frame,A_x,A_y,A_r,H_x,H_y,H_r,M_x,M_y,M_r,R_x,R_y,R_r
1084,441,354,7,,,,1080,436,7,862,297,6
1085,467,353,8,,,,1085,439,8,794,287,9
1086,488,352,6,,,,1089,442,7,761,287,8
1087,,,,837,381,4,1094,446,7,753,292,4
1088,516,353,8,929,320,4,1099,451,7,756,300,4
1089,539,355,6,981,286,6,1103,457,6,760,313,9
1090,553,357,4,1003,269,6,1107,464,6,765,325,9
1091,568,361,5,1006,265,4,1110,471,6,769,336,6
1092,586,367,9,994,269,5,1113,478,7,769,347,4
1093,603,374,9,974,278,5,1116,485,6,766,356,4
1094,620,384,7,954,288,5,1118,492,5,757,366,6
1095,637,392,6,932,298,5,1121,499,5,748,375,7
1096,655,399,9,911,308,5,1123,506,6,738,382,4
1097,674,408,10,891,318,4,1125,514,5,727,391,4
1098,692,418,8,873,327,5,1128,523,5,717,400,4
1099,711,427,7,,,,1130,530,5,705,409,4
1100,,,,1000,527,5,1132,539,5,691,420,6
1101,1167,557,4,,,,1134,549,5,677,430,6
1102,1451,637,4,916,481,4,1135,559,5,665,440,6
1103,1604,680,4,853,447,4,,,,,,
1104,1668,698,4,805,421,4,1138,575,5,1115,449,5
1105,1676,699,4,768,413,9,1139,587,5,1401,453,5
1106,,,,744,410,4,1141,600,4,1561,453,5
1107,1306,637,6,723,422,7,1143,612,7,1634,451,5
1108,1059,609,5,709,439,10,1143,623,5,1650,449,5
1109,921,597,6,695,458,8,1144,633,7,1633,446,5
1110,857,601,11,683,480,8,1144,633,4,1601,444,5
1111,842,620,7,670,504,6,,,,1565,442,5
1112,858,640,7,,,,903,750,12,1531,441,5
1113,875,637,9,648,544,5,753,820,9,1502,440,5
1114,891,618,8,,,,671,858,11,1481,440,5
1115,910,591,5,,,,637,872,10,1465,439,5
1116,913,561,7,635,554,7,634,872,9,1455,439,5
1117,921,530,7,634,544,7,648,866,6,1449,439,5
1118,922,505,6,642,523,7,,,,,,
1119,915,477,5,654,491,6,893,678,5,963,413,5
1120,914,456,4,670,459,8,1054,550,5,660,392,5
1121,904,435,7,686,428,8,1150,471,5,494,375,5
1122,895,421,5,699,402,7,1197,428,5,423,362,4
1123,892,409,4,711,380,7,1213,409,5,413,352,5
1124,887,394,5,720,360,8,1208,405,5,438,345,5
1125,882,385,6,729,343,7,1194,409,5,479,340,5
1126,870,373,5,737,330,7,1176,417,5,523,335,6
1127,861,366,5,743,318,7,1158,425,4,563,333,4
1128,854,360,5,749,309,6,1142,434,5,597,330,5
1129,850,356,8,757,300,7,1129,440,5,623,329,5
1130,848,354,6,764,293,8,1119,445,5,643,329,5
1131,838,352,4,771,291,6,1112,448,6,657,328,5
1132,836,349,6,775,286,5,1106,452,4,666,330,5
1133,831,351,5,,,,1103,454,5,672,330,5
1134,824,350,10,839,576,4,1101,456,4,675,334,5
1135,817,351,9,878,760,4,1099,459,5,677,335,5
1136,809,353,6,899,863,4,1098,462,5,679,338,4
1137,805,357,9,,,,1097,465,5,681,343,4
1138,796,360,4,851,718,16,1096,470,5,682,348,5
1139,795,364,5,816,609,16,,,,684,353,5
1140,793,373,5,792,531,16,1092,478,5,687,359,5
1141,784,378,4,778,481,16,1090,486,4,689,366,5
1142,777,386,5,770,453,16,1088,494,6,691,373,4
1143,770,396,5,767,440,16,1087,502,6,693,381,5
1144,770,405,4,767,436,16,1086,511,5,697,391,6
1145,767,418,5,768,439,16,1084,520,6,700,401,4
1146,763,430,4,771,443,16,1082,530,6,704,411,6
1147,758,443,5,773,449,16,1079,542,4,707,425,5
1148,747,455,4,817,389,7,1077,554,5,711,436,5
1149,740,470,4,848,356,6,,,,,,
1150,734,485,4,870,348,8,889,709,5,716,459,5
1151,,,,883,353,5,772,805,8,720,477,5
1152,,,,890,369,4,708,854,10,723,494,7
1153,,,,895,388,5,681,872,10,722,502,7
1154,,,,897,411,6,680,870,8,720,498,4
1155,,,,898,436,4,693,858,7,714,479,5
1156,,,,899,459,5,711,845,8,706,454,7
1157,,,,900,485,5,731,832,7,698,432,4
1158,,,,900,500,6,,,,689,409,4
1159,733,494,6,904,497,4,895,651,5,681,387,5
1160,736,487,7,913,477,8,996,527,5,673,367,5
1161,,,,921,449,6,1049,448,5,665,350,5
1162,746,458,5,933,421,7,1069,403,4,657,334,5
1163,757,431,4,,,,1067,381,5,650,322,6
1164,767,404,5,,,,1054,374,5,643,311,6
1165,777,381,5,,,,1034,374,5,637,301,6
1166,783,363,6,964,363,4,1013,378,5,630,292,7
1167,788,347,7,986,319,5,993,382,6,624,285,6
1168,793,335,7,1003,288,5,975,386,6,,,
1169,798,325,7,,,,959,388,6,1161,363,4
1170,802,317,7,,,,946,390,6,,,
1171,806,310,7,,,,935,391,6,1501,414,4
1172,810,306,6,,,,925,391,6,,,
1173,814,302,6,,,,917,391,6,1632,447,5
1174,817,300,6,,,,910,391,6,1680,463,5
1175,820,299,5,,,,904,392,5,1677,469,5
1176,824,298,6,,,,898,393,5,1647,469,5
1177,828,298,6,942,559,4,891,393,6,1605,465,5
1178,833,299,5,,,,885,394,6,1564,459,5
1179,837,301,5,,,,878,395,6,1527,454,5
1180,841,303,5,,,,872,398,6,1497,449,5
1181,845,306,4,,,,865,403,6,1476,445,5
1182,,,,901,735,5,859,407,6,1461,443,5
1183,851,314,5,875,837,5,852,413,6,1452,441,5
1184,858,324,4,861,887,5,846,419,6,1447,439,5
1185,863,332,4,,,,840,426,6,1445,439,5
1186,869,340,4,,,,834,433,6,1444,439,5
1187,873,348,5,,,,827,442,6,,,
1188,876,357,5,,,,821,452,5,892,372,7
1189,880,366,5,,,,814,462,6,543,337,7
1190,883,376,4,800,710,16,808,472,5,346,326,7
1191,886,386,4,764,584,16,801,484,5,255,331,8
1192,889,395,4,,,,796,496,4,233,348,8
1193,891,407,4,,,,790,509,4,250,369,7
1194,893,421,6,1009,406,6,783,525,6,286,395,7
1195,,,,1173,304,6,777,540,6,325,421,5
1196,898,446,4,1274,260,6,773,553,5,,,
1197,900,467,6,1329,253,6,775,562,5,942,442,5
1198,905,486,4,1354,276,6,,,,1340,453,5
1199,908,499,6,1359,309,8,784,574,4,1568,457,5
1200,909,508,6,1355,347,6,792,583,5,1677,457,5
1201,912,515,6,1345,385,6,801,589,6,1707,454,5
1202,916,523,5,1330,414,7,810,598,4,1690,451,5
1203,919,530,5,1308,436,4,817,606,5,1651,447,5
1204,923,538,7,1286,453,4,824,616,4,1605,444,5
1205,928,547,6,1267,470,7,832,628,8,1560,442,5
1206,931,559,5,1251,482,5,841,641,12,1522,440,5
1207,936,570,4,1235,497,7,846,651,11,1493,439,5
1208,940,586,5,1225,512,5,849,665,5,1472,438,5
1209,940,600,4,1215,528,8,852,680,6,1458,438,5
1210,,,,1203,544,8,855,694,5,1449,438,5
1211,,,,1197,562,9,859,709,4,,,
1212,,,,1190,581,9,862,714,5,871,548,5
1213,,,,1182,603,9,867,706,5,508,609,6
1214,,,,1176,623,9,872,691,6,308,632,7
1215,,,,1171,645,8,877,673,6,220,634,4
1216,1018,688,4,,,,882,656,6,204,619,7
1217,,,,933,560,16,884,641,5,230,597,8
1218,,,,,,,888,626,6,274,572,8
1219,,,,1005,593,8,893,614,5,324,552,5
1220,1016,669,7,1059,605,9,898,604,6,370,532,5
1221,1011,646,4,1097,607,4,903,595,6,406,516,7
1222,1004,618,5,1120,597,4,908,588,5,434,502,6
1223,1001,596,6,1125,578,8,913,585,8,454,492,6
1224,1000,579,7,1125,562,5,917,581,5,468,484,6
1225,999,564,7,1121,545,11,922,576,5,475,478,8
1226,1001,552,6,1116,529,7,926,573,5,479,475,8
1227,1003,545,5,1106,515,9,930,571,5,480,473,6
1228,1008,539,5,1094,503,11,933,570,5,480,472,6
1229,1009,533,5,1085,496,5,937,570,5,479,471,6
1230,1012,531,6,1072,487,5,941,571,5,477,471,6
1231,1016,533,5,1060,483,7,946,572,5,477,473,5
1232,1020,531,4,1054,478,5,950,574,5,476,474,6
1233,1025,533,7,1046,476,7,954,576,4,474,478,6
1234,1030,536,9,1037,477,8,958,579,5,475,482,5
1235,1035,539,5,1029,480,8,962,582,4,476,487,6
1236,1035,543,4,1023,484,5,966,586,5,475,491,5
1237,1038,550,6,1012,484,5,969,592,4,,,
1238,1042,558,6,1002,490,7,972,597,4,479,500,4
1239,,,,994,497,7,977,603,6,479,507,6
1240,1047,569,5,987,502,6,,,,,,
1241,,,,980,510,8,1441,682,7,1108,470,4
1242,1069,666,5,972,520,8,1732,731,7,1504,445,4
1243,1083,727,6,966,533,6,1893,757,6,1723,430,4
1244,1090,760,6,954,542,6,1963,768,6,1819,423,4
1245,1093,774,6,944,555,6,1975,769,7,1836,421,4
1246,1094,775,5,936,567,8,1954,765,7,1809,421,4
1247,1092,769,5,931,577,7,1918,759,7,1761,424,4
1248,1090,759,8,928,583,8,1879,752,7,1708,427,4
1249,1088,750,6,925,584,8,1842,746,7,1660,430,4
1250,1087,741,7,923,580,7,1812,740,6,1619,432,4
1251,1086,735,7,921,578,7,1790,735,6,1588,434,4
1252,1084,731,4,920,574,7,1773,733,6,1567,435,4
1253,,,,919,571,6,1762,732,6,1553,436,4
1254,1085,728,5,919,569,7,1756,731,6,1544,437,4
1255,,,,919,568,7,,,,,,
1256,,,,921,569,4,1754,730,7,1541,437,4
1257,,,,920,571,6,1754,730,6,1540,437,4
1258,,,,919,573,6,1754,730,6,1540,437,4
1259,,,,918,575,6,1755,730,7,1541,437,4
1260,,,,919,576,4,1756,730,6,1543,437,4
1261,,,,,,,1757,730,6,1545,437,4
1262,,,,,,,1758,730,7,1546,437,4
1263,,,,,,,1758,730,6,1547,437,4
1264,,,,,,,1759,730,7,1548,437,4
1265,,,,,,,1759,730,7,1548,437,4
1266,,,,836,514,17,1759,730,7,1549,436,4
1267,,,,784,475,17,1760,730,7,1549,436,4
1268,,,,755,453,17,1760,731,7,1549,436,4
1269,,,,742,443,17,1760,731,7,1549,436,4
1270,,,,741,440,16,,,,,,
1271,,,,,,,1314,666,7,1549,436,4
1272,,,,744,443,16,1033,623,6,1549,436,4
1273,,,,750,448,16,876,596,6,1549,436,4
1274,,,,757,453,16,807,581,6,1549,436,4
1275,,,,764,458,16,793,577,8,1549,435,5
1276,,,,770,461,16,812,576,8,1549,435,5
1277,,,,774,464,16,845,578,6,1549,434,5
1278,,,,777,466,16,882,581,6,1548,434,5
1279,,,,779,467,17,916,584,7,1548,434,5
1280,,,,780,468,16,946,585,4,1548,434,5
1281,,,,,,,968,585,4,1548,434,5
1282,,,,855,508,4,985,586,5,1548,434,4
1283,,,,901,532,4,997,587,5,1548,435,4
1284,,,,926,543,4,1004,587,5,1548,435,4
1285,1072,635,4,935,545,4,1008,588,4,,,
1286,1065,577,5,943,541,5,1010,588,5,926,468,5
1287,1061,544,5,942,535,5,1010,588,5,534,488,4
1288,1060,529,5,936,529,5,1010,589,4,317,499,4
1289,1061,526,5,928,524,5,1009,588,5,221,504,4
1290,1062,530,5,920,520,5,1008,588,4,205,504,4
1291,1064,538,5,912,516,5,1008,588,4,232,503,4
1292,1066,546,6,905,515,5,,,,279,500,4
1293,1067,553,6,901,514,5,834,677,4,332,497,4
1294,1068,560,6,897,514,6,,,,381,495,5
1295,1069,565,6,894,514,5,900,643,4,422,492,4
1296,1068,567,6,892,514,6,950,619,4,453,491,4
1297,1068,570,5,890,514,5,986,601,4,476,490,4
1298,1066,571,4,888,514,5,1009,590,5,491,490,4
1299,,,,886,514,5,1023,585,5,500,489,4
1300,1064,572,4,884,515,5,1029,582,4,505,489,4
1301,1063,573,5,883,515,5,1032,581,4,507,488,4
1302,1062,573,5,881,515,5,1031,582,4,508,488,4
1303,1061,572,4,879,516,6,1029,583,4,,,
1304,1060,572,4,877,516,6,1027,584,4,1067,459,5
1305,1059,572,4,876,517,6,1026,585,5,1417,440,5
1306,1059,571,4,874,516,6,1024,587,4,1611,430,5
1307,1061,575,4,872,517,6,1022,588,4,1695,426,5
1308,1057,573,5,870,517,6,1021,589,4,1709,425,5
1309,1056,576,4,868,516,6,1020,590,4,1684,426,5
1310,1052,578,4,866,516,7,1019,591,4,1641,429,5
1311,1044,579,5,865,516,7,1019,594,4,1594,431,5
1312,1033,579,6,865,515,7,1017,596,4,1550,433,5
1313,1020,580,5,866,515,7,1014,600,5,1514,435,5
1314,1006,581,4,870,514,6,1012,604,5,1487,437,5
1315,,,,875,514,7,1012,608,9,1467,438,5
1316,,,,882,516,7,1011,612,9,1455,438,5
1317,976,585,4,890,518,7,1010,618,7,1448,439,5
1318,954,595,5,897,521,7,1009,626,4,,,
1319,937,600,4,903,527,7,1008,636,6,927,495,4
1320,923,610,9,909,533,7,1007,645,5,606,538,5
1321,912,618,4,915,540,7,1005,657,5,431,566,6
1322,902,628,4,920,548,8,1004,668,5,360,586,7
1323,892,639,5,925,558,7,1003,681,4,353,601,4
1324,884,654,8,930,570,8,1002,694,5,,,
1325,875,668,8,935,582,7,1001,707,5,884,526,5
1326,866,681,5,940,596,8,1000,713,5,1243,474,5
1327,858,695,7,944,609,6,999,711,5,1463,442,5
1328,848,711,8,949,624,8,999,704,4,1580,424,5
1329,840,711,4,954,640,8,999,693,5,1627,416,5
1330,838,703,7,958,655,7,999,681,5,1630,415,5
1331,837,691,4,962,666,7,999,669,6,1609,418,5
1332,835,671,5,963,662,7,999,659,7,1578,422,5
1333,829,657,4,964,649,9,998,652,6,1545,426,5
1334,825,643,7,964,633,8,997,646,6,1515,430,5
1335,822,631,5,968,615,6,997,641,6,1491,434,5
1336,815,619,5,970,599,7,997,639,7,1473,436,5
1337,808,609,4,971,583,8,996,637,7,1460,438,5
1338,807,605,6,974,570,7,997,637,6,1453,439,5
1339,806,600,6,976,560,7,996,638,7,,,
1340,,,,977,552,9,996,640,7,979,499,7
1341,,,,978,546,8,995,641,7,685,536,7
1342,,,,980,542,9,993,644,6,524,559,7
1343,791,596,5,984,541,7,993,647,7,456,572,7
1344,779,597,6,987,539,5,992,653,6,448,577,7
1345,772,602,4,989,541,6,992,658,6,473,579,5
1346,767,606,6,991,544,6,992,663,6,,,
1347,762,610,5,992,545,7,991,670,6,971,509,5
1348,759,617,6,991,550,5,991,676,6,1301,462,5
1349,754,626,6,991,554,6,991,686,5,1498,434,5
1350,749,633,6,993,559,8,993,696,4,1599,419,5
1351,743,641,4,997,564,7,993,706,4,1634,414,5
1352,,,,998,571,8,,,,1631,414,6
1353,737,658,5,1000,581,4,1443,728,7,1606,417,6
1354,733,672,5,1001,589,6,1727,740,7,1573,422,6
1355,728,684,4,1003,597,6,1884,746,7,1540,426,5
1356,722,697,4,1002,608,5,1953,747,6,1510,430,5
1357,717,697,5,1002,618,5,1966,746,7,1487,433,5
1358,713,688,6,1005,632,7,1946,743,7,1470,436,5
1359,708,674,5,1008,636,7,1912,740,7,1458,437,5
1360,,,,1010,630,7,1873,738,6,1451,438,5
1361,,,,1011,620,7,1839,735,7,,,
1362,,,,1013,609,6,1810,734,7,1025,518,7
1363,,,,1016,597,7,1788,733,7,761,569,6
1364,693,647,4,1017,586,7,1773,732,6,618,597,8
1365,,,,1017,576,6,1763,731,7,558,608,7
1366,677,631,5,1016,568,6,1757,731,7,551,610,7
1367,668,621,6,1019,562,8,,,,576,608,7
1368,661,614,6,1022,558,7,1754,731,7,613,604,6
1369,654,612,4,1024,555,8,1754,731,7,653,602,6
1370,,,,1023,555,4,1754,731,7,691,601,8
1371,649,618,4,1024,557,8,1755,731,7,724,600,7
1372,646,624,6,1027,560,6,1756,731,7,750,602,6
1373,642,630,5,1030,562,7,1757,731,7,770,609,7
1374,,,,1031,565,8,1758,731,7,784,617,7
1375,633,644,4,1030,569,5,1758,731,7,792,624,7
1376,628,655,5,1030,573,5,1759,731,6,798,632,7
1377,624,664,6,1033,581,6,1759,731,6,803,634,7
1378,618,673,5,1037,588,6,1759,730,6,806,632,6
1379,614,679,4,1039,597,6,1760,730,6,808,627,5
1380,,,,1039,606,8,1760,730,6,811,619,6
1381,610,675,5,1039,617,5,1760,730,6,815,609,6
1382,607,668,6,1040,618,7,,,,819,603,7
1383,604,656,4,1041,613,7,1329,699,5,822,599,6
1384,,,,1040,605,5,,,,825,595,9
1385,594,648,4,1040,596,7,1033,697,7,828,592,8
1386,588,639,6,1042,587,8,867,700,6,830,592,8
1387,583,633,6,1046,580,6,,,,834,594,7
1388,579,628,4,1049,573,6,562,749,7,840,602,8
1389,574,628,4,1048,568,6,397,782,8,846,612,6
1390,568,631,4,,,,331,800,9,853,623,5
1391,,,,891,504,17,324,811,7,861,639,9
1392,,,,,,,350,815,6,,,
1393,,,,,,,,,,873,643,8
1394,,,,793,465,17,392,817,6,882,643,4
1395,,,,,,,438,817,6,,,
1396,,,,797,636,5,,,,1225,527,5
1397,,,,809,748,5,715,775,5,1439,454,5
1398,,,,824,814,5,896,747,6,1556,412,5
1399,,,,840,847,5,1002,729,7,1605,393,5
1400,534,634,4,853,858,4,1055,720,7,,,
1401,512,631,6,,,,1073,717,7,1612,389,5
1402,,,,425,612,4,1069,718,6,1596,393,5
1403,,,,,,,1054,724,6,1568,401,5
1404,,,,,,,1036,730,6,1539,410,5
1405,,,,537,502,17,1017,738,7,1512,418,5
1406,,,,628,438,16,999,746,7,1489,425,5
1407,,,,697,407,16,985,756,7,1473,431,5
1408,,,,744,399,17,975,765,7,,,
1409,,,,774,403,16,968,774,7,1518,433,4
1410,473,639,4,790,414,16,963,786,9,1546,435,4
1411,450,645,5,798,427,16,960,789,8,1562,436,4
1412,,,,799,439,16,959,787,8,1568,436,4
1413,,,,797,449,16,958,781,8,1570,436,4
1414,432,653,6,794,457,16,958,776,9,1567,436,4
1415,422,653,5,790,463,16,959,772,8,1564,436,4
1416,416,649,6,787,467,16,959,768,7,1560,436,5
1417,413,646,4,784,469,16,960,767,6,1556,435,4
1418,413,640,6,781,470,16,958,768,4,1554,435,4
1419,413,634,6,,,,959,768,8,1551,434,4
1420,413,631,4,780,471,16,959,772,8,1550,434,4
1421,412,630,6,,,,957,775,6,1549,434,4
1422,409,629,6,,,,956,779,8,1548,434,4
1423,406,630,6,,,,956,785,7,,,
1424,,,,779,471,16,955,792,7,1254,562,7
1425,400,634,5,,,,956,801,6,1073,646,8
1426,394,638,6,,,,957,811,8,978,700,7
1427,389,643,6,,,,956,814,7,939,722,6
1428,386,649,5,778,470,15,955,811,8,938,723,6
1429,381,654,5,778,469,15,953,807,8,960,714,10
1430,376,652,6,778,468,16,953,802,9,991,699,9
1431,372,646,5,779,468,16,952,799,9,1025,683,9
1432,367,643,4,779,468,16,952,797,8,1055,670,9
1433,363,638,6,779,468,16,951,796,8,1081,662,8
1434,358,632,5,779,469,16,951,797,9,1102,657,8
1435,356,630,5,780,469,16,949,800,9,1119,654,9
1436,353,627,5,780,469,16,948,804,10,1131,656,7
1437,348,629,6,780,469,16,947,809,10,1142,658,8
1438,344,629,5,780,469,16,946,817,10,1150,663,8
1439,338,630,5,780,469,16,945,826,9,1156,669,7
1440,334,635,4,,,,944,835,10,1163,676,8
1441,331,640,5,780,469,16,946,836,5,1169,678,9
1442,326,643,4,780,469,16,945,834,10,1175,678,8
1443,324,646,4,780,469,16,944,832,9,1181,676,7
1444,321,644,4,780,469,16,943,828,9,1187,672,6
1445,317,642,6,780,469,16,939,826,9,1193,669,7
1446,313,637,5,780,468,16,938,828,6,1200,667,7
1447,309,631,5,779,468,16,938,828,7,1206,665,6
1448,304,630,5,779,468,16,,,,1213,665,5
1449,301,628,5,779,468,16,933,831,6,,,
1450,297,626,6,779,468,16,,,,1360,531,5
1451,295,629,4,779,468,16,1438,819,9,1451,447,5
1452,295,630,4,779,468,16,1757,811,9,1500,401,5
1453,297,631,4,779,467,16,1934,806,9,1521,380,6
1454,298,629,4,779,467,16,1976,795,7,1523,377,5
1455,,,,,,,1941,784,9,1515,383,5
1456,,,,696,635,5,,,,1502,393,5
1457,,,,,,,1308,734,7,1489,404,5
1458,,,,498,715,6,875,707,5,1477,415,5
1459,,,,,,,633,692,7,1468,423,5
1460,,,,606,615,16,495,687,7,1460,430,5
1461,,,,687,543,16,444,687,4,1455,435,5
1462,,,,742,494,16,,,,1452,438,5
1463,,,,777,464,16,564,749,5,1450,439,5
1464,,,,795,449,16,667,790,5,,,
1465,,,,803,444,16,745,811,10,1343,561,8
1466,,,,804,444,16,,,,1280,636,8
1467,,,,801,447,16,803,818,5,1249,677,8
1468,,,,797,451,16,840,820,6,1240,694,9
1469,,,,792,456,16,,,,1246,696,9
1470,,,,789,460,16,778,766,6,1259,689,8
1471,,,,785,463,16,738,730,7,1275,678,8
1472,,,,782,466,17,713,708,7,1291,666,8
1473,,,,780,467,17,702,695,4,1306,654,8
1474,,,,,,,694,688,4,1320,644,7
1475,,,,779,468,17,694,689,4,1331,637,8
1476,,,,778,470,16,699,691,5,1339,630,8
1477,,,,777,470,16,705,697,6,1338,625,5
1478,,,,777,469,16,713,701,5,1338,621,4
1479,,,,777,469,16,722,703,5,1340,619,4
1480,,,,778,468,16,730,705,6,1351,621,7
1481,,,,778,468,16,736,707,6,1360,627,7
1482,,,,778,467,16,,,,1367,637,7
1483,,,,778,467,16,770,775,10,1373,652,7
1484,,,,778,468,16,790,829,10,1378,668,6
1485,,,,778,469,16,,,,1378,691,12
1486,,,,777,470,16,765,781,6,1378,715,13
1487,278,611,4,777,470,16,749,746,6,1378,738,10
1488,263,605,4,778,469,17,737,723,5,1377,748,10
1489,,,,,,,,,,1378,746,8
1490,255,613,4,1028,507,4,1220,655,11,1379,732,9
1491,251,613,5,1185,538,4,1560,632,32,1379,713,9
1492,248,607,4,1273,561,4,1713,604,11,1380,693,8
1493,249,599,5,1312,573,4,1801,632,4,1380,675,9
1494,,,,1319,573,5,1832,642,13,1382,659,8
1495,,,,1309,565,4,1770,622,8,1383,648,8
1496,250,587,5,,,,,,,1385,642,8
1497,,,,1040,515,16,1254,726,9,1392,637,7
1498,,,,861,482,16,912,796,12,1397,638,9
1499,251,576,4,754,463,17,712,845,9,1401,643,9
1500,,,,699,453,16,610,874,9,1403,651,9
1501,,,,681,450,17,575,888,7,1405,660,9
1502,250,571,4,683,451,17,572,891,5,1407,671,10
1503,,,,697,453,17,,,,1409,685,10
1504,,,,715,457,17,1186,819,6,1410,699,9
1505,,,,732,460,17,1589,769,6,1411,715,8
1506,831,669,4,748,463,17,1829,737,6,1420,740,5
1507,1196,729,4,,,,1950,720,6,1421,748,6
1508,1398,761,4,383,407,4,1991,712,6,1426,751,4
1509,1486,775,4,154,372,4,1983,710,6,1430,744,4
1510,,,,,,,1951,712,6,1424,729,6
1511,,,,308,575,5,1909,715,6,1420,711,7
1512,,,,430,707,5,1867,719,6,1419,695,7
1513,,,,519,783,5,1831,723,6,1419,680,8
1514,,,,580,819,6,1803,726,6,1420,668,8
1515,,,,617,830,5,1782,727,4,1423,659,9
1516,913,691,4,,,,1768,729,6,1427,659,9
1517,518,634,5,,,,1758,730,4,1431,668,9
1518,269,598,5,,,,,,,1439,682,9
1519,130,579,4,,,,1001,758,9,1448,701,6
1520,67,575,5,,,,,,,1458,724,5
1521,54,581,4,,,,1279,748,5,1458,743,7
1522,67,592,4,,,,1490,741,6,1460,747,6
1523,,,,,,,1638,736,6,1465,738,8
1524,,,,639,826,5,1733,733,6,1472,724,8
1525,,,,648,814,5,1788,731,6,1479,706,7
1526,,,,648,799,6,1814,730,6,1486,693,8
1527,,,,,,,1821,730,6,,,
1528,,,,644,784,6,1817,729,4,1497,676,4
1529,,,,,,,1808,729,6,,,
1530,,,,,,,1796,730,6,1478,529,5
1531,,,,987,640,4,1786,730,6,1464,438,5
1532,,,,,,,1776,731,6,1455,389,5
1533,,,,852,679,5,1769,731,6,1450,369,5
1534,,,,749,708,5,1764,730,5,1448,367,5
1535,,,,677,729,5,,,,1447,375,5
1536,,,,,,,1718,762,14,1447,387,5
1537,,,,783,770,6,1682,727,13,1448,400,5
1538,,,,853,795,6,1711,727,6,,,
1539,,,,,,,1733,727,6,1506,411,4
1540,,,,894,808,6,1748,728,6,1542,419,4
1541,,,,,,,1758,728,6,1562,426,4
1542,,,,913,814,5,1763,728,5,1572,431,4
1543,,,,,,,1765,728,5,1574,434,4
1544,,,,886,764,5,1765,728,5,1572,436,4
1545,,,,,,,1765,728,5,1568,437,4
1546,,,,,,,1763,729,6,1563,437,4
1547,,,,895,780,4,1762,730,6,1559,437,4
1548,,,,,,,1761,731,6,1555,437,4
1549,,,,,,,1760,730,5,1552,437,4
1550,,,,,,,1759,730,6,1550,436,4
1551,,,,,,,1759,731,6,1549,436,4
1552,,,,,,,,,,1548,436,4
1553,,,,,,,1188,719,4,,,
1554,,,,,,,,,,1548,436,4
1555,,,,459,543,4,830,712,4,1548,436,4
1556,,,,182,394,4,,,,1548,435,4
1557,,,,27,311,4,1200,719,7,1548,435,4
1558,,,,-43,275,4,1471,725,7,1548,435,4
1559,,,,-59,268,4,1654,729,7,1548,435,4
1560,,,,-44,278,4,1766,731,6,1548,435,4
1561,,,,-13,295,4,1826,732,7,1548,435,4
1562,,,,20,314,4,1850,732,7,1548,435,4
1563,,,,53,331,4,1852,732,7,1548,435,4
1564,,,,80,345,4,1841,732,7,1549,435,4
1565,,,,,,,1824,732,6,1549,435,5
1566,,,,100,356,4,1806,731,7,1549,435,4
1567,,,,114,363,4,1790,731,7,1549,435,4
1568,,,,,,,1778,731,7,,,
1569,,,,,,,1768,731,7,1492,438,5
1570,,,,,,,1763,732,6,1457,439,5
1571,,,,,,,,,,1437,440,5
1572,,,,,,,1352,653,6,1428,441,5
1573,,,,,,,1094,603,7,1427,441,5
1574,,,,,,,951,576,6,1429,440,5
1575,,,,,,,,,,1433,440,5
1576,,,,,,,720,708,6,1438,440,5
1577,,,,,,,606,795,7,1443,440,5
1578,,,,761,451,4,568,846,6,1446,440,5
1579,,,,1166,505,4,578,870,7,1449,440,5
1580,,,,1391,536,4,612,876,7,1451,440,5
1581,,,,1488,549,4,655,872,7,1452,440,5
1582,,,,1504,551,4,698,862,7,1453,439,5
1583,,,,1474,546,4,736,850,7,,,
1584,,,,1423,539,4,767,838,7,1455,555,9
1585,,,,1366,530,4,790,827,7,1455,626,9
1586,,,,1315,522,4,805,818,8,1452,664,9
1587,,,,1272,516,4,816,810,8,1448,678,9
1588,,,,1239,511,5,823,802,7,1443,677,9
1589,,,,1216,506,4,827,796,6,1439,669,9
1590,,,,1200,504,4,830,789,6,1434,655,9
1591,,,,1189,502,4,823,779,7,1428,637,9
1592,,,,,,,819,768,6,1423,621,9
1593,,,,1183,500,4,817,756,6,1419,603,8
1594,,,,,,,816,742,5,1415,584,8
1595,,,,,,,816,728,6,1413,566,8
1596,,,,,,,823,711,8,1411,549,8
1597,,,,872,650,4,827,696,9,1410,535,8
1598,,,,678,744,4,829,683,11,1409,523,9
1599,,,,572,797,4,832,671,10,1407,513,8
1600,,,,,,,834,662,11,1406,506,8
1601,,,,592,650,16,835,656,11,1405,501,9
1602,,,,627,548,16,834,652,11,1403,498,9
1603,,,,665,483,16,833,648,10,1402,495,9
1604,,,,701,446,17,832,647,10,1401,495,8
1605,,,,729,429,16,832,648,10,1399,496,9
1606,,,,,,,831,650,11,1398,499,8
1607,99,531,4,370,368,4,835,649,10,1392,499,6
1608,134,494,4,145,337,4,843,637,15,1363,489,7
1609,166,475,4,22,324,4,852,618,7,1319,471,10
1610,,,,-29,324,4,866,598,6,,,
1611,,,,-37,330,4,882,577,6,1382,445,5
1612,,,,-20,339,4,898,559,6,1424,430,5
1613,,,,8,348,4,915,546,7,1451,423,5
1614,240,446,6,39,356,4,930,535,8,1466,422,5
1615,300,430,6,67,363,4,942,526,8,1472,423,5
1616,348,421,5,91,368,4,953,520,9,1473,425,5
