frame,A_x,A_y,A_r,H_x,H_y,H_r,M_x,M_y,M_r,R_x,R_y,R_r
192,1622,749,6,591,783,6,1101,615,5,1689,420,4
193,1625,749,5,646,793,6,1125,602,5,1642,425,4
194,1623,759,4,670,798,6,1122,602,5,1604,429,4
195,1621,766,5,684,800,6,1105,608,6,1577,431,4
196,1614,771,7,691,802,8,1082,615,6,1559,433,4
197,,,,,,,1059,623,7,1548,434,4
198,,,,537,754,5,1037,627,5,,,
199,,,,436,723,5,1021,631,4,1484,437,5
200,,,,376,706,5,1008,634,4,1446,439,5
201,,,,347,697,5,1000,636,4,1426,440,5
202,1617,769,4,,,,996,638,5,1419,440,5
203,1618,766,5,338,694,5,994,639,4,1419,440,5
204,1619,761,4,341,695,5,993,640,4,1423,440,5
205,1617,758,4,,,,992,639,4,1429,440,5
206,,,,531,746,7,993,639,5,1435,439,5
207,,,,656,778,7,995,638,4,1440,439,5
208,1521,685,4,730,794,5,997,637,5,1445,439,5
209,,,,,,,998,635,4,1448,439,5
210,,,,586,759,6,999,633,4,1450,439,5
211,,,,484,734,6,1000,631,4,1451,438,5
212,,,,,,,1001,628,4,1452,438,5
213,,,,644,574,17,1001,626,4,,,
214,1460,639,4,,,,,,,1510,437,4
215,,,,582,628,6,955,737,6,1546,436,4
216,,,,,,,926,807,6,1566,435,4
217,,,,,,,909,846,4,1575,435,4
218,,,,,,,,,,1576,435,4
219,,,,,,,947,748,4,1574,435,4
220,,,,704,518,16,973,679,4,1569,435,4
221,,,,,,,991,633,4,1564,435,4
222,,,,839,642,5,1000,607,4,1560,435,4
223,,,,,,,1004,594,4,1556,435,4
224,,,,,,,1004,589,4,1553,435,4
225,,,,918,729,6,,,,1551,435,4
226,,,,,,,762,647,4,1550,435,4
227,,,,897,594,16,610,689,7,1549,436,4
228,,,,872,505,17,525,714,7,,,
229,,,,847,453,16,,,,1549,436,4
230,1500,650,4,826,427,16,569,778,6,1549,435,4
231,1532,661,5,,,,613,815,6,1549,435,4
232,1556,670,5,809,418,17,650,833,6,1549,434,4
233,1571,677,5,,,,680,839,5,1549,434,4
234,1581,683,5,767,573,4,702,837,6,1549,434,4
235,1586,686,5,742,675,4,717,831,6,1549,435,4
236,1587,687,5,730,735,5,726,824,5,1549,435,4
237,1586,688,5,726,765,5,731,818,6,1549,435,4
238,1585,688,6,726,775,6,733,811,6,1549,435,4
239,1583,687,6,731,773,4,733,807,6,1550,435,4
240,1581,686,5,736,764,6,732,803,5,1550,435,4
241,1580,686,6,741,753,6,731,801,6,1550,435,4
242,1579,685,6,745,742,7,729,799,6,1550,434,4
243,1578,684,6,747,731,7,728,798,6,,,
244,1578,684,6,749,723,7,,,,1550,435,4
245,1578,684,5,,,,587,735,8,1550,435,4
246,1578,684,6,857,687,4,499,697,10,1550,435,4
247,1579,684,5,,,,449,676,8,1550,435,4
248,,,,925,665,4,427,666,8,1550,435,4
249,,,,962,652,4,422,664,8,1550,434,4
250,1506,655,4,978,646,4,428,666,8,1550,434,4
251,1460,637,4,,,,439,671,8,1549,434,4
252,1435,627,4,,,,452,678,9,1549,434,4
253,1423,623,4,982,645,4,435,698,16,1549,434,4
254,1421,622,4,,,,473,750,7,1549,434,4
255,1424,624,4,977,646,5,500,782,7,1549,434,4
256,1430,626,4,969,648,4,516,801,7,1549,434,4
257,,,,959,651,4,526,808,6,1549,434,4
258,1436,628,4,951,653,4,530,810,6,,,
259,1442,630,4,943,655,4,532,807,7,1492,437,5
260,1446,632,4,937,657,4,531,805,7,1456,438,5
261,1450,634,4,934,658,4,558,781,7,1436,439,6
262,1452,635,4,932,659,4,574,765,6,1428,440,6
263,,,,930,659,4,583,754,7,1426,440,6
264,1527,654,6,,,,568,772,9,1429,439,6
265,1567,669,4,823,686,6,577,761,8,1433,439,6
266,1592,669,7,758,700,6,582,755,9,1438,439,6
267,1601,664,7,726,703,6,584,750,5,1443,439,6
268,1600,656,7,715,699,9,584,747,5,1446,439,6
269,1594,644,7,718,690,6,584,746,6,1449,439,5
270,1585,632,7,729,677,7,561,769,5,1450,439,5
271,1576,618,7,743,661,7,536,784,9,1451,439,5
272,1569,604,7,755,644,7,554,771,6,1452,438,5
273,1564,589,8,766,626,7,567,759,5,,,
274,1561,575,8,774,607,9,,,,761,453,4
275,1559,563,8,780,586,9,523,719,10,327,459,4
276,1559,552,9,785,566,9,494,696,10,85,461,4
277,1559,543,9,787,547,9,478,683,10,-20,459,4
278,1559,536,9,789,529,9,471,678,10,-40,456,5
279,1560,531,9,790,513,9,469,677,10,-12,453,5
280,1561,527,9,792,501,10,470,679,10,38,450,4
281,1561,525,9,793,490,11,474,682,10,95,449,4
282,1561,525,9,794,482,11,477,686,11,148,448,4
283,1562,526,9,796,476,12,481,689,10,192,448,5
284,1562,528,9,796,474,11,481,689,9,225,450,4
285,1563,532,9,797,472,12,482,690,9,249,452,5
286,1563,536,8,799,472,13,484,692,10,263,455,4
287,1566,543,4,801,473,15,485,692,9,272,459,4
288,1565,549,8,803,484,5,487,693,9,281,454,5
289,1564,556,7,802,488,13,,,,290,443,5
290,,,,802,493,13,766,591,4,300,428,5
291,1520,536,7,802,503,11,939,522,4,310,412,5
292,1469,510,8,803,513,13,1033,478,4,320,396,4
293,1416,481,9,784,492,9,1071,452,4,329,382,4
294,1364,453,8,772,478,9,1074,439,4,340,369,5
295,1320,425,12,765,469,10,1057,432,4,350,358,4
296,1278,403,11,,,,1030,430,4,359,348,4
297,1241,386,11,850,402,9,1002,430,4,370,338,4
298,1207,372,10,917,349,10,974,430,4,381,329,4
299,1175,360,10,969,309,8,952,431,5,391,322,4
300,1145,352,10,1008,281,9,933,431,4,402,315,4
301,1118,345,9,1034,264,8,918,429,4,414,309,6
302,1093,339,8,,,,907,427,4,425,305,5
303,1069,335,8,686,500,5,897,425,5,437,302,6
304,1046,332,7,460,654,4,891,423,5,448,298,6
305,1023,330,7,,,,886,421,4,458,294,4
306,1003,329,7,,,,881,418,4,467,292,4
307,982,328,7,,,,877,416,4,,,
308,963,328,7,,,,872,416,4,1114,371,4
309,943,329,6,,,,,,,1518,422,4
310,925,330,7,,,,863,415,5,1740,451,4
311,906,332,7,,,,856,416,6,1836,464,4
312,888,333,7,328,744,5,850,416,6,1851,468,4
313,870,336,6,,,,844,418,7,1821,465,4
314,851,339,5,488,838,7,839,421,6,1770,460,5
315,834,343,4,615,882,5,834,425,6,1714,454,5
316,818,347,7,710,893,5,828,430,6,1664,448,4
317,803,351,8,778,887,4,823,436,6,1622,443,4
318,788,357,7,824,873,4,817,442,6,1590,440,5
319,773,364,7,,,,812,449,7,1568,437,5
320,758,372,7,598,806,4,805,456,7,1553,435,5
321,743,380,6,,,,800,465,7,1545,434,5
322,,,,450,757,4,794,475,7,,,
323,,,,361,725,4,787,485,6,1027,394,8
324,954,627,6,317,705,5,781,499,8,712,375,8
325,,,,302,695,5,774,511,5,547,373,9
326,831,563,4,,,,767,528,9,486,382,11
327,739,517,4,806,470,4,759,544,8,493,399,11
328,674,487,5,1136,337,4,752,561,7,536,422,7
329,630,471,4,1331,273,5,745,579,7,597,447,6
330,602,468,4,1427,257,6,740,594,4,662,472,6
331,584,473,4,1459,270,6,733,610,4,718,499,11
332,,,,1452,299,6,724,632,10,772,523,4
333,567,491,4,1426,335,4,718,655,13,811,549,8
334,555,510,5,1394,371,5,716,670,8,845,572,8
335,548,528,6,,,,716,665,9,862,569,10
336,,,,1138,617,5,722,644,8,870,548,9
337,,,,,,,733,616,9,872,516,9
338,,,,1199,584,4,742,588,6,868,483,7
339,538,519,4,1244,561,4,752,561,6,864,455,5
340,,,,,,,761,535,6,858,426,9
341,536,497,4,1039,718,8,770,512,6,853,399,9
342,538,474,4,908,814,9,779,492,7,848,377,8
343,542,453,4,,,,788,476,7,847,356,10
344,547,434,4,836,861,4,797,461,7,845,339,9
345,,,,804,877,6,805,450,7,845,326,9
346,,,,,,,811,441,7,845,315,9
347,,,,1008,630,6,817,433,7,845,305,9
348,550,400,5,1145,457,5,824,426,8,847,298,9
349,552,377,5,1228,345,5,831,420,8,849,293,7
350,554,362,4,1270,280,5,837,415,8,850,289,7
351,556,353,4,1284,248,4,843,411,8,852,287,7
352,556,348,4,1281,237,5,850,409,8,,,
353,,,,,,,856,408,8,1262,365,4
354,,,,1264,235,4,863,408,7,1521,417,4
355,553,339,4,,,,869,409,7,1664,447,4
356,551,336,4,1057,526,7,875,411,8,1726,461,4
357,549,336,5,,,,881,413,8,1738,466,4
358,549,338,5,863,525,17,887,416,8,1720,464,4
359,547,340,4,748,518,17,892,420,8,1689,460,4
360,548,344,6,689,507,17,898,425,8,1654,454,4
361,,,,670,497,17,904,430,8,1622,448,4
362,546,350,6,673,487,17,911,438,5,1596,444,4
363,545,354,5,688,479,17,917,446,6,1575,440,4
364,544,360,5,708,474,17,922,453,6,1561,437,4
365,543,367,6,728,470,17,928,463,6,1552,435,4
366,543,376,5,745,468,17,934,472,6,1547,434,4
367,542,384,4,759,466,17,940,483,6,,,
368,542,394,4,769,466,17,946,494,7,1143,390,8
369,,,,776,466,17,951,505,6,891,370,8
370,540,406,4,,,,955,518,5,752,366,8
371,539,420,5,780,466,17,960,533,8,694,376,9
372,537,433,5,782,466,17,966,549,8,686,392,9
373,536,446,4,,,,971,565,8,706,415,6
374,535,462,5,868,581,4,974,579,5,739,437,6
375,534,478,5,,,,978,594,6,776,459,6
376,,,,954,697,4,982,613,9,809,481,5
377,1073,583,4,1005,763,8,987,631,11,836,502,4
378,1413,647,4,1033,792,11,994,650,9,,,
379,1602,679,4,1046,798,10,999,653,7,1250,477,4
380,1685,691,4,1051,790,9,1003,639,10,1512,459,4
381,1700,691,4,1052,778,6,1004,619,4,1657,445,4
382,1677,683,4,,,,1006,590,9,1722,437,4
383,1636,673,4,1073,623,5,1010,560,9,1736,432,4
384,1590,663,4,,,,1013,535,6,1719,430,4
385,1549,654,4,1006,625,4,1017,510,6,1688,429,4
386,1515,647,4,959,631,4,1020,488,6,1654,429,4
387,,,,929,638,4,1022,469,6,1622,430,4
388,938,516,5,912,644,4,1026,451,6,1596,431,4
389,573,426,5,905,649,4,1029,436,6,1576,432,4
390,367,367,5,903,654,4,1032,422,7,1562,433,4
391,273,331,4,905,658,4,1035,411,7,1552,434,4
392,254,309,7,908,660,4,1038,401,6,1547,434,4
393,277,297,4,912,661,4,1042,392,6,,,
394,317,290,7,915,662,4,1045,384,6,1544,434,4
395,363,287,7,918,662,4,1048,377,7,1544,435,4
396,404,286,7,,,,1052,371,7,1544,435,4
397,437,283,5,836,548,17,1054,367,6,1545,435,4
398,463,281,5,784,477,17,1056,363,6,1546,435,4
399,481,281,5,756,437,17,1058,360,5,1547,435,4
400,,,,743,419,17,1062,357,8,1548,435,4
401,,,,741,416,17,1065,355,8,1549,435,4
402,,,,745,421,17,1070,354,7,1548,435,4
403,,,,752,429,17,1074,355,7,1549,435,4
404,,,,759,439,17,1078,356,7,1549,435,4
405,,,,765,447,17,1081,358,7,1550,435,4
406,,,,770,455,17,1083,361,8,1550,434,4
407,,,,774,460,17,1085,365,8,1550,434,5
408,,,,777,464,17,1087,369,7,,,
409,,,,779,467,17,1090,376,8,1550,434,5
410,,,,780,468,17,1092,382,6,1550,434,4
411,,,,,,,1095,389,6,1550,434,4
412,,,,984,605,12,1098,397,6,1550,434,4
413,484,283,5,1117,691,10,1101,406,6,1550,434,4
414,485,291,4,,,,1104,416,6,1550,434,4
415,483,300,6,983,602,17,1106,427,6,1550,434,4
416,479,311,5,884,537,17,1109,438,6,1550,434,4
417,476,324,6,818,493,17,1111,451,6,1549,434,4
418,473,338,5,777,466,17,1113,463,7,1549,434,4
419,470,352,4,755,452,17,1115,477,7,1549,435,4
420,467,368,5,747,446,17,1118,492,8,1549,435,4
421,,,,746,446,17,1120,504,7,1549,435,4
422,467,389,5,750,448,17,1123,521,8,1549,435,4
423,465,409,5,756,452,17,1125,538,8,,,
424,464,431,5,762,456,17,1128,556,9,1187,422,8
425,464,451,6,768,460,17,1130,570,6,959,423,7
426,462,472,7,772,463,17,1132,573,7,822,421,9
427,459,493,5,776,465,17,1131,566,6,747,415,9
428,469,499,5,778,466,17,1131,555,6,718,409,4
429,487,492,6,,,,1131,543,7,712,402,4
430,510,482,6,861,432,4,1130,530,6,713,397,5
431,535,472,4,908,411,5,1131,519,6,720,392,7
432,564,459,6,930,396,6,1130,512,6,726,386,8
433,592,450,4,933,383,6,1130,506,6,733,382,4
434,,,,925,375,6,1131,504,5,734,382,4
435,635,437,7,910,369,6,1131,503,6,731,381,4
436,670,431,6,891,363,4,1132,503,6,721,383,5
437,702,424,5,871,361,6,1133,504,5,709,385,6
438,730,425,6,854,359,7,1134,508,5,696,388,7
439,,,,837,358,7,1134,512,4,686,390,4
440,771,430,5,821,359,7,1135,517,5,672,395,6
441,804,435,6,803,360,5,1136,521,5,659,400,4
442,831,444,7,789,362,7,1138,526,4,648,405,4
443,859,451,7,776,366,7,1138,532,5,636,412,4
444,883,462,8,765,369,6,1138,538,4,625,420,4
445,910,471,5,751,376,7,,,,613,426,4
446,933,485,8,738,384,5,1140,549,5,602,434,4
447,957,498,8,719,392,7,,,,589,443,6
448,980,516,8,705,399,5,1140,557,6,580,449,5
449,1008,530,7,692,409,7,1139,555,6,576,443,6
450,1031,542,6,678,421,5,1135,543,4,576,428,6
451,1037,532,7,660,437,8,1131,527,4,578,410,6
452,1032,507,8,642,457,4,1126,509,5,580,392,4
453,1021,477,10,,,,1122,492,4,584,375,5
454,1007,446,11,634,453,5,1118,475,5,587,358,5
455,993,419,6,,,,1114,461,4,590,343,5
456,979,393,6,326,415,4,1110,449,5,592,330,5
457,968,369,7,135,389,4,1106,439,5,594,317,6
458,959,347,7,32,374,4,1102,429,5,596,306,5
459,950,330,7,-9,365,4,1099,422,5,596,297,5
460,942,314,9,-14,362,4,1095,414,5,597,290,5
461,935,303,7,1,362,4,1091,409,5,,,
462,929,293,7,27,363,4,1088,404,4,1100,367,5
463,924,284,7,54,365,4,1084,400,5,1416,417,5
464,,,,79,367,4,1081,397,5,1591,447,5
465,,,,99,370,4,1077,394,5,1668,462,5
466,,,,115,371,4,1073,392,5,1682,467,5
467,,,,125,373,4,1069,390,5,1660,466,5
468,,,,132,374,4,1066,390,5,1622,462,5
469,,,,136,374,4,1062,390,5,1579,457,5
470,,,,,,,1058,391,5,1540,452,5
471,,,,138,375,4,1055,393,5,1508,447,5
472,,,,138,375,4,1051,394,5,1483,444,5
473,,,,138,375,4,1047,397,5,1466,441,5
474,,,,137,375,4,1042,400,5,1455,439,5
475,,,,136,375,4,1038,405,5,1448,438,5
476,,,,135,375,4,1034,410,5,,,
477,,,,135,375,4,1031,416,6,1445,438,5
478,884,280,5,,,,1028,422,5,1444,438,5
479,859,284,6,514,429,17,1024,429,5,1445,438,5
480,844,294,5,752,464,17,1020,437,5,1446,438,5
481,836,306,5,884,483,17,1016,445,5,1447,438,5
482,832,320,5,,,,1012,455,5,1448,438,5
483,832,334,4,,,,1008,465,5,1450,438,5
484,829,355,6,,,,1004,476,4,1450,438,5
485,827,374,6,563,436,4,1001,487,5,1451,438,5
486,826,392,6,334,403,4,997,499,4,1451,439,5
487,824,409,6,186,382,4,994,511,4,1452,439,5
488,823,424,4,99,369,4,991,525,4,1452,439,5
489,821,442,7,56,363,4,987,541,6,1452,439,5
490,818,460,8,43,362,4,983,557,5,1452,440,5
491,815,480,6,48,362,4,980,574,5,,,
492,812,500,5,,,,976,591,5,1509,437,4
493,809,519,6,61,364,4,,,,1545,436,4
494,806,538,6,77,366,4,974,598,5,1565,435,4
495,803,552,5,93,369,4,974,596,5,1574,435,4
496,799,554,5,107,371,4,976,587,5,1576,435,4
497,795,547,4,118,372,4,,,,1573,435,4
498,789,533,4,126,373,4,686,656,8,1569,435,4
499,784,516,4,131,374,4,504,698,8,1564,434,4
500,778,500,5,,,,404,719,9,1559,435,4
501,771,485,4,134,375,4,360,728,8,1556,435,4
502,765,472,4,136,375,4,352,729,8,1553,435,4
503,759,464,6,136,375,4,365,725,8,1551,434,4
504,754,457,4,136,375,4,387,719,8,1550,434,4
505,,,,136,375,4,412,712,8,1549,433,4
506,745,450,4,135,375,4,434,706,8,,,
507,737,447,4,135,375,4,453,700,9,1046,420,5
508,,,,134,375,4,467,697,8,732,413,5
509,,,,134,375,4,453,709,17,562,410,6
510,,,,134,374,4,496,711,4,486,423,5
